condition,training_seed,stratum,persona_id,persona_index,eval_seed,target,mae,volatility,oscillation,final_difficulty,activations,overrides,attempted_boundary,oracle_agreement,raw_actions,final_actions
PPO-state-shuffle | G,42,grid,normal@0.40,2,15015,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,16016,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,17017,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,18018,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,19019,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.40,2,20020,2.0,0.090909,0.100000,0.000000,2.0,10,1,0,0.900,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,1001,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,2002,2.5,0.500000,0.100000,0.000000,2.0,3,1,0,0.300,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,3003,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,4004,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,5005,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,6006,2.5,0.500000,0.100000,0.000000,2.0,4,1,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,7007,2.5,0.500000,0.100000,0.000000,2.0,3,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,8008,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,9009,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,10010,2.5,0.500000,0.100000,0.000000,2.0,5,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Easier|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,11011,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,12012,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,13013,2.5,0.500000,0.100000,0.000000,2.0,10,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Easier
PPO-state-shuffle | G,42,grid,normal@0.50,3,14014,2.5,0.500000,0.100000,0.000000,2.0,3,1,0,0.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Easier|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,15015,2.5,0.500000,0.100000,0.000000,2.0,4,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Easier|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,16016,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,17017,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,18018,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.200,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,19019,2.5,0.500000,0.100000,0.000000,2.0,1,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Easier|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.50,3,20020,2.5,0.500000,0.100000,0.000000,2.0,2,1,0,0.100,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Easier|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,1001,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,2002,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,3003,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,4004,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,5005,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,6006,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
PPO-state-shuffle | G,42,grid,normal@0.60,4,7007,3.0,0.000000,0.000000,0.000000,3.0,10,0,0,1.000,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same,Same|Same|Same|Same|Same|Same|Same|Same|Same|Same
